CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;motivation1;motivation2;motivation3;motivation4;motivation5;motivation6;motivation7;motivation8;motivation9;Attention1;gender;gender_sonstiges;age;employment;employment1;employment2;employment3;employment4;employment5;employment6;grad;grad_sonstiges;hours;EF02;CO;CO1;support1;support2;techno1;techno2;techno3;techno4;techno5;techno6;techno7;techno8;techno9;techno10;techno11;techno12;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME008;TIME009;TIME_SUM;MAILSENT;LASTDATA;STATUS;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI
116;;;aow1;interview;07.06.2026 20:25;4;5;4;4;4;3;4;3;3;2;2;;64;1;2;1;1;1;1;;5;;35;1;-9;;2;2;2;3;4;3;2;2;4;2;1;2;4;2;46;6;108;50;47;18;34;34;5;276;;07.06.2026 20:31;complete;1;0;9;9;3;0;0,8
120;;;aow1;interview;07.06.2026 21:01;5;7;7;5;6;7;7;6;3;2;2;;21;1;1;2;1;1;1;;4;;39;1;-9;;5;5;4;1;3;1;2;2;4;1;2;1;4;3;105;3;33;63;46;17;49;35;4;355;;07.06.2026 21:07;complete;1;0;9;9;3;0;0,92
121;;;aow1;interview;07.06.2026 21:20;2;4;4;4;5;2;5;3;3;2;1;;19;1;2;1;1;1;1;;3;;40;1;-2;/;5;4;4;2;1;2;3;3;2;2;4;2;2;3;6;5;27;41;44;15;29;23;10;193;;07.06.2026 21:23;complete;1;0;9;9;0;0;1,3
122;;;aow1;interview;07.06.2026 22:15;4;5;6;5;5;6;6;5;4;2;2;;56;1;2;1;1;1;1;;8;;41;1;-9;;5;5;5;3;2;3;2;2;3;2;2;2;2;2;130;17;60;66;68;19;40;56;3;340;;07.06.2026 22:23;complete;1;0;9;9;3;0;0,65
123;;;aow1;interview;08.06.2026 08:22;1;2;3;2;2;4;3;2;2;2;2;;21;1;1;2;1;1;1;;4;;20;1;-9;;5;5;5;4;4;1;2;1;4;1;4;4;3;1;27;6;28;74;40;12;31;35;2;255;;08.06.2026 08:26;complete;1;0;9;9;3;0;1,09
124;;;aow1;interview;08.06.2026 10:02;4;4;5;5;4;5;5;5;4;2;2;;22;1;1;2;1;1;1;;4;;38;1;-9;;3;4;4;3;4;3;2;2;3;2;3;4;2;2;158;8;67;60;69;30;50;47;7;361;;08.06.2026 10:10;complete;1;0;9;9;3;0;0,58
127;;;aow1;interview;08.06.2026 15:05;1;2;3;1;1;2;3;1;2;2;2;;41;1;2;1;1;1;1;;4;;39;1;-9;;1;1;4;2;1;1;2;2;4;2;2;1;4;2;15;3;26;35;28;11;16;16;2;152;;08.06.2026 15:07;complete;1;0;9;9;3;0;1,67
128;;;aow1;interview;08.06.2026 18:29;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;3;2;;;;;;;;5;;08.06.2026 18:29;;0;0;2;2;0;0;2,75
133;;;aow1;interview;08.06.2026 19:21;-9;-9;-9;-9;-9;-9;-9;-9;-9;-9;2;;30;1;2;1;1;1;1;;4;;41;1;;;-9;-9;3;3;4;3;4;4;-9;-9;-9;-9;-9;-9;6;4;20;31;8;6;8;6;;89;;08.06.2026 19:22;;0;0;8;8;60;60;2,43
134;;;aow1;interview;08.06.2026 19:33;6;6;6;6;5;6;7;6;6;2;2;Männlich.;22;1;2;1;1;1;1;;4;;41;1;-9;;1;5;4;1;1;1;1;1;4;1;1;1;1;1;43;4;33;26;32;12;18;15;3;186;;08.06.2026 19:36;complete;1;0;9;9;3;0;1,43
136;;;aow1;interview;08.06.2026 20:15;4;6;3;3;3;3;5;3;3;2;1;;61;1;2;1;1;1;1;;3;;40;1;-9;;5;5;3;2;2;2;1;1;2;2;3;2;4;2;12;2;27;49;51;25;37;33;3;239;;08.06.2026 20:19;complete;1;0;9;9;3;0;1,26
141;;;aow1;interview;08.06.2026 22:25;6;5;6;6;5;3;6;6;6;2;1;;58;1;2;1;1;1;1;;8;;45;1;-9;;5;5;5;3;1;1;3;2;1;1;1;1;4;2;6;3;31;45;32;11;24;44;3;199;;08.06.2026 22:29;complete;1;0;9;9;3;0;1,47
144;;;aow1;interview;09.06.2026 01:44;6;5;6;6;5;3;7;6;6;2;1;;21;2;2;2;1;1;1;;4;;12;1;-9;;2;5;1;1;5;5;1;2;4;1;2;1;4;3;4;4;18;55;108;29;46;20;2;286;;09.06.2026 01:49;complete;1;0;9;9;3;0;1,35
148;;;aow1;interview;09.06.2026 10:10;6;6;7;4;6;7;7;6;4;2;1;;21;2;2;2;1;1;1;;4;;20;1;-9;;5;4;5;3;5;4;2;3;4;2;2;3;4;4;11;4;30;61;187;37;30;19;2;245;;09.06.2026 10:16;complete;1;0;9;9;3;0;1,16
151;;;aow1;interview;09.06.2026 10:46;3;4;3;5;4;4;3;4;5;2;1;;21;1;1;2;1;1;1;;4;;50;1;-9;;4;4;4;3;4;3;2;2;4;1;5;4;3;4;23;10;122;83;89;18;66;42;4;371;;09.06.2026 10:53;complete;1;0;9;9;3;0;0,66
153;;;aow1;interview;09.06.2026 10:54;;;;;;;;;;;1;;26;2;2;2;1;1;1;;7;;16;1;;;;;5;3;1;1;3;2;;;;;;;52;9;36;41;;;;;;138;;09.06.2026 10:56;;0;0;4;4;0;0;0,81
155;;;aow1;interview;09.06.2026 11:00;3;3;3;4;3;3;3;3;2;2;2;;21;1;1;2;1;1;1;;4;;40;1;-9;;4;1;5;2;4;3;1;1;5;1;3;4;2;1;6;5;137;146;57;11;81;37;152;287;;09.06.2026 11:10;complete;1;0;9;9;3;0;0,93
157;;;aow1;interview;09.06.2026 11:00;3;5;3;3;3;4;5;3;3;2;1;;20;1;1;2;1;1;1;;4;;16;1;-9;;5;5;5;4;3;1;2;1;4;3;2;3;4;2;129;7;70;95;64;65;73;42;21;394;;09.06.2026 11:10;complete;1;0;9;9;3;0;0,49
158;;;aow1;interview;09.06.2026 11:00;1;2;2;2;2;3;6;3;3;2;2;;21;1;1;2;1;1;1;;4;;16;1;-9;;4;5;4;1;3;1;1;1;5;4;2;5;3;1;67;4;49;161;61;14;80;199;6;366;;09.06.2026 11:11;complete;1;0;9;9;3;0;0,64
169;;;aow1;interview;09.06.2026 12:45;5;5;4;7;7;7;1;6;5;2;2;;67;1;2;1;1;1;1;;8;Promotionen;50;1;-2;wünsche interessante Erkenntnisse;4;1;1;1;3;1;2;1;1;2;1;1;1;4;9;9;50;98;57;24;27;31;46;308;;09.06.2026 12:51;complete;1;0;9;9;0;0;0,92
170;;;aow1;interview;09.06.2026 12:51;3;3;4;3;3;4;4;5;4;2;1;;22;2;2;2;1;1;1;;4;;12;1;-9;;4;3;5;2;4;2;4;4;3;3;4;2;5;4;11;10;48;43;43;14;18;31;2;220;;09.06.2026 12:55;complete;1;0;9;9;3;0;1,26
171;;;aow1;interview;09.06.2026 13:03;3;4;4;5;5;4;5;3;4;2;2;;21;1;1;2;1;1;1;;5;;40;1;-9;;5;5;5;4;1;1;2;2;4;3;4;3;2;1;3;6;62;34;78;15;20;139;16;255;;09.06.2026 13:09;complete;1;0;9;9;3;0;1,08
174;;;aow1;interview;09.06.2026 13:13;3;3;3;4;3;4;4;4;4;2;2;;59;1;2;1;1;1;1;;4;;39;1;-9;;4;4;5;5;3;4;3;4;4;3;2;3;4;3;10;6;40;37;32;8;21;15;3;172;;09.06.2026 13:16;complete;1;0;9;9;3;0;1,54
176;;;aow1;interview;09.06.2026 13:40;6;5;6;6;5;5;5;6;5;2;1;;54;1;2;1;1;1;1;;5;;39;1;-9;;4;4;5;3;2;1;5;4;3;4;1;3;2;5;18;5;35;59;53;21;40;37;2;270;;09.06.2026 13:44;complete;1;0;9;9;3;0;1,02
184;;;aow1;interview;09.06.2026 15:58;5;6;6;5;5;6;5;7;5;2;1;;32;1;2;1;1;1;1;;8;;40;1;-9;;5;5;5;1;5;5;2;1;3;2;1;1;3;3;10;2;35;47;59;14;25;36;4;232;;09.06.2026 16:02;complete;1;0;9;9;3;0;1,33
187;;;aow1;interview;09.06.2026 16:23;2;4;4;4;4;4;3;4;3;2;1;;50;1;2;1;1;1;2;Freiberuflich ;7;;40;1;-9;;5;3;4;3;4;3;2;2;2;2;2;2;2;3;7;9;54;55;43;19;46;34;4;271;;09.06.2026 16:28;complete;1;0;9;9;3;0;1,07
189;;;aow1;interview;09.06.2026 16:33;4;4;5;5;5;6;5;4;5;2;1;;21;1;1;2;1;1;1;;4;;30;1;-9;;2;2;5;4;5;5;5;5;3;2;2;2;2;5;22;3;32;33;46;10;27;20;2;195;;09.06.2026 16:36;complete;1;0;9;9;3;0;1,39
196;;;aow1;interview;09.06.2026 17:28;3;5;6;6;6;6;6;4;4;2;2;;22;1;1;2;1;1;1;;4;;35;1;-9;;5;5;5;3;4;2;2;2;4;2;2;1;5;2;52;5;25;47;47;12;25;30;1;244;;09.06.2026 17:32;complete;1;0;9;9;3;0;1,32
197;;;aow1;interview;09.06.2026 17:35;4;6;6;6;5;4;6;5;5;2;2;;24;2;2;2;1;1;1;;7;;15;1;-9;;4;4;5;4;2;3;1;1;3;1;5;1;2;1;10;5;37;53;55;25;22;34;4;245;;09.06.2026 17:39;complete;1;0;9;9;3;0;1,12
198;;;aow1;interview;09.06.2026 17:48;4;4;4;4;3;2;5;5;4;2;1;;20;1;1;2;1;1;1;;4;;60;1;-9;;2;4;5;4;5;3;2;3;5;4;3;4;2;3;13;4;29;30;83;13;45;46;17;266;;09.06.2026 17:53;complete;1;0;9;9;3;0;1,05
199;;;aow1;interview;09.06.2026 19:32;3;5;5;5;3;5;3;5;6;2;2;;58;1;2;1;1;1;1;;8;;60;1;-2;Ich bin selbständig, und habe mich entschieden, außerhalb der Arbeitszeit dienstlich nicht erreichbar zu sein. Insofern habe ich keinen Stress mit diesem Thema.;4;2;5;2;2;1;2;2;3;1;2;1;1;2;38;4;37;54;46;16;30;31;101;259;;09.06.2026 19:38;complete;1;0;9;9;0;0;0,9
201;;;aow1;interview;09.06.2026 19:50;2;4;2;2;3;5;3;2;2;2;2;;56;1;2;1;1;1;1;;8;;39;1;-9;;4;2;5;1;4;4;2;3;4;2;5;4;2;2;33;5;53;69;64;19;33;65;4;345;;09.06.2026 19:56;complete;1;0;9;9;3;0;0,78
202;;;aow1;interview;09.06.2026 20:03;3;4;3;3;3;3;3;3;3;2;1;;57;1;2;1;1;1;1;;5;;41;1;-9;;5;5;5;3;2;5;4;4;4;3;2;2;2;3;48;9;96;113;64;31;61;65;9;496;;09.06.2026 20:12;complete;1;0;9;9;3;0;0,51
206;;;aow1;interview;10.06.2026 00:51;3;3;4;5;3;3;6;3;3;2;1;;21;1;1;2;1;1;1;;4;;0;1;-9;;4;4;5;3;5;5;2;2;3;3;5;5;3;2;7;2;19;31;20;11;16;15;2;123;;10.06.2026 00:53;complete;1;0;9;9;3;0;2,1
208;;;aow1;interview;10.06.2026 07:06;3;3;3;3;2;5;6;3;3;2;1;;62;1;2;1;1;1;1;;5;;32;1;-9;;5;3;5;3;3;2;3;3;5;5;3;2;4;3;6;5;29;60;60;24;59;49;2;294;;10.06.2026 07:11;complete;1;0;9;9;3;0;1,15
209;;;aow1;interview;10.06.2026 08:08;3;3;3;4;3;4;4;2;3;2;1;;50;1;2;1;1;1;1;;8;;40;1;-9;;2;4;5;2;3;2;3;2;3;3;2;2;4;4;20;3;29;41;37;17;35;24;2;208;;10.06.2026 08:12;complete;1;0;9;9;3;0;1,28
210;;;aow1;interview;10.06.2026 09:26;6;5;6;5;6;7;7;6;6;2;2;;22;2;2;2;1;1;1;;4;;60;1;-9;;5;5;5;1;1;1;1;1;1;1;1;1;4;1;4;3;21;24;21;9;18;45;21;148;;10.06.2026 09:29;complete;1;0;9;9;3;0;1,72
214;;;aow1;interview;10.06.2026 17:41;6;6;6;2;5;5;6;6;5;2;1;;27;2;2;2;1;1;1;;4;;20;1;-9;;4;5;4;4;4;2;3;2;3;2;2;3;4;2;52;7;30;30;31;11;19;16;3;199;;10.06.2026 17:44;complete;1;0;9;9;3;0;1,34
215;;;aow1;interview;10.06.2026 17:44;1;6;3;2;1;3;3;3;3;2;3;;58;1;2;1;1;1;1;;5;;48;1;-9;;1;5;4;1;1;1;2;2;2;1;1;2;3;1;3;3;36;22;68;142;14;12;1;176;;10.06.2026 17:49;complete;1;0;9;9;3;0;1,89
223;;;aow1;interview;10.06.2026 21:16;3;6;5;5;5;4;6;3;5;2;1;;24;1;2;1;1;1;1;;7;;25;1;-2;Was mir persönlich in den letzten Monaten aufgefallen ist, ist dass ich trotz meines jungen Alters mit neuer Technologie nicht so schnell und einfach klar komme wie bisher. Dazu kommt, dass es soo viel Neues in so kurzen Intervallen in der Technologie gibt, dass selbst junge Leute wie ich da nicht hinterher kommen.;5;5;4;4;2;1;3;2;4;2;1;1;4;4;135;4;49;1189;97;12;46;39;103;324;;10.06.2026 21:44;complete;1;0;9;9;0;0;0,63
227;;;aow1;interview;10.06.2026 22:09;3;4;3;3;2;4;4;3;3;2;2;;25;1;2;1;1;1;1;;7;;40;1;-9;;5;2;5;4;3;1;2;1;5;3;4;2;2;2;9;5;30;80;51;17;42;34;3;271;;10.06.2026 22:13;complete;1;0;9;9;3;0;1,13
228;;;aow1;interview;11.06.2026 11:08;6;6;6;6;6;5;5;5;5;5;1;;28;1;2;1;1;1;1;;4;;53;1;-9;;4;4;4;4;3;4;4;4;4;4;4;4;4;4;5;9;33;24;12;4;16;12;3;118;;11.06.2026 11:10;complete;1;0;9;9;3;0;2,07
230;;;aow1;interview;11.06.2026 13:16;5;5;5;5;5;5;4;5;5;2;1;;25;1;2;1;1;1;1;;5;;43;1;-9;;5;5;4;5;5;5;1;1;5;2;2;1;2;3;22;6;73;30;36;14;37;24;3;245;;11.06.2026 13:20;complete;1;0;9;9;3;0;1,11
231;;;aow1;interview;11.06.2026 13:17;3;4;4;4;3;2;5;4;5;4;1;;28;1;1;2;1;1;1;;4;;40;1;-9;;4;4;5;3;4;4;4;4;4;1;2;2;4;5;14;5;26;31;190;13;18;19;2;179;;11.06.2026 13:22;complete;1;0;9;9;3;0;1,37
232;;;aow1;interview;11.06.2026 15:21;3;3;4;4;4;4;3;4;5;2;2;;46;1;2;1;1;1;1;;7;Betriebswirt (VWA);40;1;-9;;5;2;5;3;4;3;2;2;2;1;1;1;5;5;15;9;76;59;67;30;76;60;4;396;;11.06.2026 15:28;complete;1;0;9;9;3;0;0,72
234;;;aow1;interview;11.06.2026 23:44;3;2;3;3;1;2;4;3;3;2;1;;33;1;2;1;1;1;1;;8;;20;1;-9;;3;3;4;4;2;5;5;4;5;5;1;3;5;5;46;4;23;48;36;31;54;48;8;298;;11.06.2026 23:49;complete;1;0;9;9;3;0;0,89
236;;;aow1;interview;12.06.2026 13:42;2;4;3;2;3;3;2;3;3;2;1;;20;1;1;2;1;1;1;;4;;38;1;-9;;2;2;4;4;4;4;5;3;5;4;3;3;3;5;41;12;78;104;107;66;74;39;9;481;;12.06.2026 13:50;complete;1;0;9;9;3;0;0,48
238;;;aow1;interview;12.06.2026 14:04;5;5;6;5;5;5;6;5;5;2;1;;20;1;1;2;1;1;1;;4;;40;1;-9;;5;5;4;2;2;2;3;2;3;2;1;2;3;3;25;7;24;46;61;11;75;21;4;274;;12.06.2026 14:08;complete;1;0;9;9;3;0;1,04
241;;;aow1;interview;13.06.2026 10:56;5;5;5;4;4;5;4;4;4;2;1;;48;1;2;1;1;1;1;;2;;20;1;-9;;4;4;4;3;2;3;4;3;4;4;4;4;4;4;21;5;85;93;40;12;58;33;4;351;;13.06.2026 11:01;complete;1;0;9;9;3;0;0,89
243;;;aow1;interview;13.06.2026 21:36;5;5;6;5;6;7;5;5;5;2;1;;25;1;2;1;1;1;1;;7;;39;1;-9;;5;5;4;1;1;1;2;3;3;1;1;1;1;3;63;10;68;133;72;12;32;40;6;436;;13.06.2026 21:44;complete;1;0;9;9;3;0;0,69
247;;;aow1;interview;14.06.2026 21:42;3;4;5;5;4;4;4;5;4;2;2;;38;1;2;1;1;1;1;;7;;40;1;-9;;4;5;5;1;2;1;2;3;4;1;3;3;4;2;116;4;37;45;80;18;64;37;3;404;;14.06.2026 21:49;complete;1;0;9;9;3;0;0,84
250;;;aow1;interview;15.06.2026 15:24;5;5;6;6;5;6;6;5;5;2;1;;60;1;2;1;1;1;1;;8;;38,5;1;-9;;5;4;5;4;3;2;3;3;4;2;1;1;3;3;112;11;43;96;83;32;63;52;7;499;;15.06.2026 15:32;complete;1;0;9;9;3;0;0,53
251;;;aow1;interview;16.06.2026 08:32;4;4;4;4;4;5;5;3;5;2;2;;29;1;2;1;1;1;1;;7;;40;1;-9;;3;3;4;4;4;2;3;3;4;3;5;5;2;4;41;5;31;51;41;32;23;46;8;278;;16.06.2026 08:37;complete;1;0;9;9;3;0;0,89
253;;;aow1;interview;16.06.2026 10:39;5;6;5;5;5;6;5;3;4;2;2;;22;2;2;2;1;1;1;;4;;40;1;-9;;3;4;5;4;5;4;2;2;5;2;5;4;3;2;85;9;74;46;52;24;48;39;4;381;;16.06.2026 10:46;complete;1;0;9;9;3;0;0,71
256;;;aow1;interview;16.06.2026 11:13;2;3;2;2;3;4;3;2;2;2;1;;56;1;2;1;1;1;1;;3;;20;1;-9;;5;5;4;2;4;1;3;3;3;2;2;3;3;4;20;15;182;129;87;16;41;37;8;379;;16.06.2026 11:22;complete;1;0;9;9;3;0;0,64
260;;;aow1;interview;16.06.2026 12:59;3;5;4;3;2;5;5;4;4;2;2;;31;1;2;1;1;1;1;;7;;39;1;-9;;5;4;5;2;4;2;1;1;2;1;1;1;3;1;8;7;28;40;37;16;23;23;2;184;;16.06.2026 13:02;complete;1;0;9;9;3;0;1,44
262;;;aow1;interview;16.06.2026 17:52;4;5;6;6;5;5;5;4;5;-9;1;;57;1;2;1;1;1;1;;4;;39;1;-9;;4;4;5;4;3;1;5;4;5;4;2;2;3;4;172;24;83;70;73;40;56;81;10;387;;16.06.2026 18:02;complete;1;0;9;9;6;3;0,44
264;;;aow1;interview;16.06.2026 20:26;5;6;6;2;5;7;5;3;2;2;1;;43;1;2;1;1;1;1;;5;;30;1;-9;;2;2;4;3;3;2;2;1;4;2;2;4;4;4;147;7;62;89;58;20;42;33;5;339;;16.06.2026 20:34;complete;1;0;9;9;3;0;0,68
265;;;aow1;interview;16.06.2026 21:01;3;3;5;3;3;4;5;5;3;2;1;;47;1;2;1;1;1;1;;5;;30;1;-9;;1;1;2;2;2;1;2;2;1;1;1;1;1;4;148;10;149;118;46;71;40;58;3;351;;16.06.2026 21:12;complete;1;0;9;9;3;0;0,56
266;;;aow1;interview;16.06.2026 21:14;3;6;4;5;5;7;5;4;4;2;1;;51;1;2;1;1;1;1;;7;;48;1;-9;;5;5;5;2;1;1;3;3;3;3;1;2;2;3;25;7;35;73;59;21;52;31;3;306;;16.06.2026 21:19;complete;1;0;9;9;3;0;0,86
268;;;aow1;interview;17.06.2026 10:58;4;4;5;5;4;4;5;4;4;2;1;;53;1;2;1;1;1;1;;8;;39;1;-9;;4;4;3;2;1;1;4;4;3;3;1;2;3;3;35;6;26;42;32;11;24;28;3;207;;17.06.2026 11:01;complete;1;0;9;9;3;0;1,19
269;;;aow1;interview;17.06.2026 11:12;3;4;4;4;4;5;4;4;4;2;1;;61;1;2;1;1;1;1;;3;;35;1;-9;;4;4;2;2;2;3;2;2;2;2;3;2;3;3;13;6;31;55;33;27;26;24;4;219;;17.06.2026 11:16;complete;1;0;9;9;3;0;1,14
270;;;aow1;interview;17.06.2026 11:36;4;4;4;3;3;3;4;4;3;2;2;;45;1;2;1;1;1;1;;7;2 Abschlüsse EQR 6;31;1;-9;;4;3;2;2;5;5;1;2;3;1;2;1;3;2;38;8;104;45;50;14;33;26;3;321;;17.06.2026 11:41;complete;1;0;9;9;3;0;0,91
271;;;aow1;interview;17.06.2026 16:57;3;3;3;4;2;4;2;5;3;2;2;;22;1;1;2;1;1;1;;7;;10;1;-9;;3;4;5;4;4;4;3;1;4;2;2;2;2;3;23;4;34;42;42;16;37;30;3;231;;17.06.2026 17:01;complete;1;0;9;9;3;0;1,09
272;;;aow1;interview;17.06.2026 20:09;2;5;3;4;3;3;4;3;3;2;1;;23;2;2;2;1;1;1;;4;;20;1;-9;;5;1;2;3;2;3;1;1;2;1;2;1;3;2;4;5;17;18;20;6;14;22;1;107;;17.06.2026 20:11;complete;1;0;9;9;3;0;2,35
275;;;aow1;interview;17.06.2026 20:47;6;5;5;6;5;3;6;5;5;2;1;;48;1;2;1;1;1;1;;2;;40;1;-9;;4;2;4;2;2;2;2;3;2;2;2;2;3;3;26;7;38;52;40;17;25;35;3;243;;17.06.2026 20:51;complete;1;0;9;9;3;0;1,01
276;;;aow1;interview;17.06.2026 21:11;4;3;4;4;5;5;6;3;6;5;1;;25;2;2;2;1;1;1;;4;;20;1;-9;;4;2;3;2;3;2;3;1;3;3;1;1;2;1;3;3;20;13;10;7;6;13;1;76;;17.06.2026 21:12;complete;1;0;9;9;3;0;2,6
277;;;aow1;interview;17.06.2026 21:13;4;5;5;4;4;4;5;4;3;2;2;;28;1;2;1;1;1;1;;7;;40;1;-9;;4;3;2;3;2;4;4;4;4;4;4;2;3;3;2;3;20;7;161;18;15;11;1;128;;17.06.2026 21:16;complete;1;0;9;9;3;0;2,1
286;;;aow1;interview;17.06.2026 21:36;5;7;7;5;7;6;6;6;6;2;1;;46;1;2;1;1;1;1;;8;;40;1;-2;mit gutem Service der technischen Abteilung fällt vieles leichter.;4;5;5;5;3;3;2;2;3;1;1;1;2;2;336;7;36;43;64;85;32;27;36;252;;17.06.2026 21:47;complete;1;0;9;9;0;0;0,7
288;;;aow1;interview;17.06.2026 21:41;3;4;4;4;3;4;5;5;4;2;2;;59;1;2;1;1;1;1;;4;;39;1;-9;;5;5;4;3;3;2;3;5;3;2;1;3;2;2;12;3;24;37;41;14;27;27;2;187;;17.06.2026 21:44;complete;1;0;9;9;3;0;1,43
289;;;aow1;interview;17.06.2026 21:44;5;4;4;2;3;6;2;3;4;2;1;;38;1;2;1;1;1;1;;5;;20;1;-9;;4;3;4;4;5;4;2;3;2;2;3;3;4;3;21;5;36;43;43;16;25;25;3;217;;17.06.2026 21:48;complete;1;0;9;9;3;0;1,13
291;;;aow1;interview;17.06.2026 21:47;6;5;7;4;5;5;7;7;7;2;2;;22;1;1;2;1;1;1;;3;;30;1;-9;;3;4;4;4;4;2;4;4;3;4;2;3;2;5;43;5;71;273;78;23;40;46;6;363;;17.06.2026 21:57;complete;1;0;9;9;3;0;0,63
